Gen	t_n5	t_n6	t_n7	mu	sigma2	lnL
206000	5.8850849	5.7882971	4.2697750	0.0454110	0.9865601	-1.199
207000	5.8400961	5.8390533	4.1347719	0.0678032	0.7504751	-1.672
208000	5.8782376	5.8583619	4.1695881	0.0387031	0.6456348	-2.468
209000	5.9411681	5.9130387	4.4388118	0.0755891	1.0146155	-2.464
210000	5.7568847	5.7460838	4.3480863	0.0592263	0.9854107	-2.097
211000	5.9091231	5.8972145	4.1159896	0.0318572	1.2036588	-6.448
212000	5.8204244	5.6312195	4.2203150	0.0348200	0.8035604	-3.706
213000	5.9215995	5.9145213	4.2346471	0.0473453	1.0781248	-3.718
214000	5.8243986	5.8035644	4.1389558	0.0147665	0.7241393	-2.347
215000	5.7878567	5.7845168	4.2156927	0.0893594	1.0102543	-1.158
216000	5.8190300	5.7171143	4.2430680	0.0468672	0.7977751	-5.929
217000	5.8513287	5.8078905	4.1154032	0.0257626	1.0283529	-5.281
218000	5.9056327	5.8115173	4.2809316	0.0411625	0.9162752	-2.622
219000	5.8301550	5.8221067	4.3618645	0.0229780	0.8279313	-2.608
220000	5.8659100	5.8650455	4.2008723	0.0330822	1.0941419	-0.943
221000	5.8414128	5.8215599	4.1849338	0.0447629	1.0169703	-1.528
222000	6.0539487	5.9975751	4.2268678	0.0392355	1.0899591	-2.019
223000	5.8113375	5.7746990	4.1614545	0.0372577	0.5400330	-3.232
224000	5.8437799	5.8212491	4.4031604	0.0573672	0.7611004	-5.069
225000	5.9143120	5.9068929	4.2721260	0.0759832	1.2276254	-3.440
226000	5.8384427	5.8383289	4.4289506	0.0669691	0.9251632	-4.663
227000	5.9450096	5.9432772	4.4376994	0.0715711	1.2774134	-0.991
228000	5.7373959	5.6792581	4.1384575	0.0431109	1.2133562	-1.319
229000	5.7797336	5.6580509	4.4897079	0.0491911	0.9011259	-2.735
230000	5.7623347	5.7138084	4.4865690	0.0612318	0.9416435	-3.095
231000	5.7983375	5.7869970	4.2398190	0.0709769	1.2478527	-1.561
232000	5.8986008	5.8375362	4.3865402	0.0514328	1.2891975	-5.409
233000	5.9422660	5.8685580	4.3575367	0.0189802	0.9937159	-3.550
234000	5.8048836	5.7922659	4.2457661	0.1249005	0.9312514	-2.432
235000	5.8046141	5.7850357	4.1944814	0.0337047	0.6834943	-6.738
236000	5.7967357	5.7330011	4.3362445	0.0426702	1.1163901	-6.515
237000	5.8815834	5.7646483	4.2490329	0.0365351	0.5631091	-1.097
238000	5.9195842	5.9124074	4.2754081	0.0639322	0.6404850	-3.757
239000	5.9048679	5.7846187	4.4100023	0.0170844	1.2426952	-2.451
240000	5.8909569	5.8862519	4.1427451	0.0367109	0.8249135	-3.205
